logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,レーン付加属性フラグ,レーン属性オプションフラグ ,距離[cm],レーンNW種別,車線属性種別 ,レーン番号,最高速度情報[kmh],幅員情報[cm],鮮度情報チェック状態,鮮度情報,中央分離帯種別,精度管理フラグ,工事開始日,工事開始時間,工事種別,機能制限フラグ３,機能制限フラグ２,機能制限フラグ１,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) 始点リンクフラグ,(1) 道路種別コード,(1) リンク種別,(1) リンク属性オプションフラグ,(1) リンク付加属性フラグ,信号機情報ID数,道路標示情報ID数,標識情報ID数,(1) 標識情報ID,停止線情報ID数,ライン型地物ID数,(1) ライン型地物ID,(1) 位置種別,(2) ライン型地物ID,(2) 位置種別,(3) ライン型地物ID,(3) 位置種別,(4) ライン型地物ID,(4) 位置種別,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(2) 始点リンクフラグ,(2) 道路種別コード,(2) リンク種別,(2) リンク属性オプションフラグ,(2) リンク付加属性フラグ,(2) 標識情報ID,(3) 標識情報ID
1239569,0x4021b,False,285,2464480,2472502,7,3,5130010000000632905,0,5130010000000632920,129,99,8039,1,2,1,120,362,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528840,1,1748801386482528841,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632907,1,5130010000000632906,,,,,,,
1239569,0x4021b,False,285,2464480,2472502,7,3,5130010000000632920,5130010000000632905,5130010000000632904,140,35,8020,1,2,2,120,378,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528841,1,1748801386482528842,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632926,1,5130010000000632930,,,,,,,
1239569,0x4021b,False,285,2464480,2472502,7,3,5130010000000632904,5130010000000632920,0,10,99,7998,1,1,3,120,366,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528842,1,1748801386482528843,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632923,1,5130010000000632919,,,,,,,
1276121,0x40262,False,292,2464480,2472502,7,3,5130010000000632905,0,5130010000000632920,129,99,8039,1,2,1,120,362,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528840,1,1748801386482528841,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632907,1,5130010000000632906,,,,,,,
1276121,0x40262,False,292,2464480,2472502,7,3,5130010000000632920,5130010000000632905,5130010000000632904,140,35,8020,1,2,2,120,378,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528841,1,1748801386482528842,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632926,1,5130010000000632930,,,,,,,
1276121,0x40262,False,292,2464480,2472502,7,3,5130010000000632904,5130010000000632920,0,10,99,7998,1,1,3,120,366,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,0,,0,4,1748801386482528842,1,1748801386482528843,2,1748801387019399756,1,1748801387019399757,2,1,5130010000000632923,1,5130010000000632919,,,,,,,
1306050,0x402b1,False,285,2472502,2480458,7,3,5130010000000632907,0,5130010000000632926,129,107,7968,1,2,1,120,357,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.7488013891668833e+18,0,4,1748801386482528863,1,1748801386482528864,2,1748801387019399777,1,1748801387019399773,2,1,5130010000000632929,1,5130010000000632905,,,,,,,
1306050,0x402b1,False,285,2472502,2480458,7,3,5130010000000632926,5130010000000632907,5130010000000632923,140,43,7961,1,2,2,120,383,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.7488013891668833e+18,0,4,1748801386482528864,1,1748801386482528859,2,1748801387019399777,1,1748801387019399773,2,1,5130010000000632921,1,5130010000000632920,,,,,,,
1306050,0x402b1,False,285,2472502,2480458,7,3,5130010000000632923,5130010000000632926,0,10,107,7966,1,1,3,120,363,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.7488013891668833e+18,0,4,1748801386482528859,1,1748801386482528860,2,1748801387019399777,1,1748801387019399773,2,1,5130010000000632912,1,5130010000000632904,,,,,,,
1342410,0x402c9,False,292,2472502,2480458,7,3,5130010000000632907,0,5130010000000632926,129,107,7968,1,2,1,120,357,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.7488013891668833e+18,0,4,1748801386482528863,1,1748801386482528864,2,1748801387019399777,1,1748801387019399773,2,1,5130010000000632929,1,5130010000000632905,,,,,,,
