logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,レーン情報数,レーンID,左側車線のレーンID,右側車線のレーンID,レーン付加属性フラグ,レーン属性オプションフラグ ,距離[cm],レーンNW種別,車線属性種別 ,レーン番号,最高速度情報[kmh],幅員情報[cm],鮮度情報チェック状態,鮮度情報,中央分離帯種別,精度管理フラグ,工事開始日,工事開始時間,工事種別,機能制限フラグ３,機能制限フラグ２,機能制限フラグ１,経路変換状態,SDLinkage有無,ADAS2.0属性数,(1) 始点リンクフラグ,(1) 道路種別コード,(1) リンク種別,(1) リンク属性オプションフラグ,(1) リンク付加属性フラグ,信号機情報ID数,道路標示情報ID数,標識情報ID数,(1) 標識情報ID,停止線情報ID数,ライン型地物ID数,(1) ライン型地物ID,(1) 位置種別,(2) ライン型地物ID,(2) 位置種別,(3) ライン型地物ID,(3) 位置種別,(4) ライン型地物ID,(4) 位置種別,前方レーンID数,(1) 前方レーンID,後方レーンID数,(1) 後方レーンID,(2) 始点リンクフラグ,(2) 道路種別コード,(2) リンク種別,(2) リンク属性オプションフラグ,(2) リンク付加属性フラグ,(2) 標識情報ID,(3) 標識情報ID
5815,0x3fbb7,False,285,2373538,2379470,7,3,5.130010000000633e+18,0.0,5.130010000000633e+18,129,107,5963,1,2,1,120,361,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
5815,0x3fbb7,False,285,2373538,2379470,7,3,5.130010000000633e+18,5.130010000000633e+18,5.130010000000633e+18,140,43,5934,1,2,2,120,377,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
5815,0x3fbb7,False,285,2373538,2379470,7,3,5.130010000000633e+18,5.130010000000633e+18,0.0,10,107,5900,1,1,3,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
43208,0x3fbf7,False,292,2373538,2379470,7,3,5.130010000000633e+18,0.0,5.130010000000633e+18,129,107,5963,1,2,1,120,361,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
43208,0x3fbf7,False,292,2373538,2379470,7,3,5.130010000000633e+18,5.130010000000633e+18,5.130010000000633e+18,140,43,5934,1,2,2,120,377,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
43208,0x3fbf7,False,292,2373538,2379470,7,3,5.130010000000633e+18,5.130010000000633e+18,0.0,10,107,5900,1,1,3,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
72424,0x3fc0b,False,285,2379470,2387488,7,3,5.130010000000633e+18,0.0,5.130010000000633e+18,129,107,7962,1,2,1,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
72424,0x3fc0b,False,285,2379470,2387488,7,3,5.130010000000633e+18,5.130010000000633e+18,5.130010000000633e+18,140,43,8016,1,2,2,120,377,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
72424,0x3fc0b,False,285,2379470,2387488,7,3,5.130010000000633e+18,5.130010000000633e+18,0.0,10,107,8073,1,1,3,120,361,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
109603,0x3fc23,False,292,2379470,2387488,7,3,5.130010000000633e+18,0.0,5.130010000000633e+18,129,107,7962,1,2,1,120,360,1,1,1,1,20191118,0,196608,0,0,0,0,有効,1,1,10,8193,17408,10,0,0,1,1.748801389166883e+18,0,4,1.7488013864825285e+18,1,1.7488013864825285e+18,2,1.7488013870193994e+18,1,1.7488013870193994e+18,2,1,5.130010000000633e+18,1,5.130010000000633e+18,,,,,,,
